Stock Name,Stock Symbol,Website,Domain Name,Logo URL
360ONE,360ONE.NS,https://www.360.one,360.one,https://img.logo.dev/360.one
3MINDIA,3MINDIA.NS,https://www.3mindia.in,3mindia.in,https://img.logo.dev/3mindia.in
ABB,ABB.NS,https://new.abb.com/indian-subcontinent,new.abb.com,https://img.logo.dev/new.abb.com
ACC,ACC.NS,https://www.acclimited.com,acclimited.com,https://img.logo.dev/acclimited.com
ACMESOLAR,ACMESOLAR.NS,https://acmesolar.in,acmesolar.in,https://img.logo.dev/acmesolar.in
AIAENG,AIAENG.NS,https://www.aiaengineering.com,aiaengineering.com,https://img.logo.dev/aiaengineering.com
APLAPOLLO,APLAPOLLO.NS,https://www.aplapollo.com,aplapollo.com,https://img.logo.dev/aplapollo.com
AUBANK,AUBANK.NS,https://www.aubank.in,aubank.in,https://img.logo.dev/aubank.in
AWL,AWL.NS,https://www.adaniwilmar.com,adaniwilmar.com,https://img.logo.dev/adaniwilmar.com
AADHARHFC,AADHARHFC.NS,https://aadharhousing.com,aadharhousing.com,https://img.logo.dev/aadharhousing.com
AARTIIND,AARTIIND.NS,https://www.aarti-industries.com,aarti-industries.com,https://img.logo.dev/aarti-industries.com
AAVAS,AAVAS.NS,https://www.aavas.in,aavas.in,https://img.logo.dev/aavas.in
ABBOTINDIA,ABBOTINDIA.NS,https://www.abbott.co.in,abbott.co.in,https://img.logo.dev/abbott.co.in
ACE,ACE.NS,https://www.ace-cranes.com,ace-cranes.com,https://img.logo.dev/ace-cranes.com
ADANIENSOL,ADANIENSOL.NS,https://www.adanienergysolutions.com,adanienergysolutions.com,https://img.logo.dev/adanienergysolutions.com
ADANIENT,ADANIENT.NS,https://www.adanienterprises.com,adanienterprises.com,https://img.logo.dev/adanienterprises.com
ADANIGREEN,ADANIGREEN.NS,https://www.adanigreenenergy.com,adanigreenenergy.com,https://img.logo.dev/adanigreenenergy.com
ADANIPORTS,ADANIPORTS.NS,https://www.adaniports.com,adaniports.com,https://img.logo.dev/adaniports.com
ADANIPOWER,ADANIPOWER.NS,https://www.adanipower.com,adanipower.com,https://img.logo.dev/adanipower.com
ATGL,ATGL.NS,https://www.adanigas.com,adanigas.com,https://img.logo.dev/adanigas.com
ABCAPITAL,ABCAPITAL.NS,https://www.adityabirlacapital.com,adityabirlacapital.com,https://img.logo.dev/adityabirlacapital.com
ABFRL,ABFRL.NS,https://www.abfrl.com,abfrl.com,https://img.logo.dev/abfrl.com
ABREL,ABREL.NS,https://www.adityabirlarealestate.com,adityabirlarealestate.com,https://img.logo.dev/adityabirlarealestate.com
ABSLAMC,ABSLAMC.NS,https://www.birlasunlife.com,birlasunlife.com,https://img.logo.dev/birlasunlife.com
AEGISLOG,AEGISLOG.NS,https://www.aegisindia.com,aegisindia.com,https://img.logo.dev/aegisindia.com
AFCONS,AFCONS.NS,https://www.afcons.com,afcons.com,https://img.logo.dev/afcons.com
AFFLE,AFFLE.NS,https://www.affle.com,affle.com,https://img.logo.dev/affle.com
AJANTPHARM,AJANTPHARM.NS,https://www.ajantapharma.com,ajantapharma.com,https://img.logo.dev/ajantapharma.com
AKUMS,AKUMS.NS,https://www.akums.in,akums.in,https://img.logo.dev/akums.in
APLLTD,APLLTD.NS,https://alembicpharmaceuticals.com,alembicpharmaceuticals.com,https://img.logo.dev/alembicpharmaceuticals.com
ALIVUS,ALIVUS.NS,https://www.alivus.com,alivus.com,https://img.logo.dev/alivus.com
ALKEM,ALKEM.NS,https://www.alkemlabs.com,alkemlabs.com,https://img.logo.dev/alkemlabs.com
ALKYLAMINE,ALKYLAMINE.NS,https://alkylamines.com,alkylamines.com,https://img.logo.dev/alkylamines.com
ALOKINDS,ALOKINDS.NS,https://www.alokind.com,alokind.com,https://img.logo.dev/alokind.com
ARE&M,ARE&M.NS,https://www.amararajaeandm.com,amararajaeandm.com,https://img.logo.dev/amararajaeandm.com
AMBER,AMBER.NS,https://www.ambergroupindia.com,ambergroupindia.com,https://img.logo.dev/ambergroupindia.com
AMBUJACEM,AMBUJACEM.NS,https://www.ambujacement.com,ambujacement.com,https://img.logo.dev/ambujacement.com
ANANDRATHI,ANANDRATHI.NS,https://anandrathiwealth.in,anandrathiwealth.in,https://img.logo.dev/anandrathiwealth.in
ANANTRAJ,ANANTRAJ.NS,https://www.anantrajlimited.com,anantrajlimited.com,https://img.logo.dev/anantrajlimited.com
ANGELONE,ANGELONE.NS,https://www.angelone.in,angelone.in,https://img.logo.dev/angelone.in
APARINDS,APARINDS.NS,https://apar.com,apar.com,https://img.logo.dev/apar.com
APOLLOHOSP,APOLLOHOSP.NS,https://www.apollohospitals.com,apollohospitals.com,https://img.logo.dev/apollohospitals.com
APOLLOTYRE,APOLLOTYRE.NS,https://www.apollotyres.com,apollotyres.com,https://img.logo.dev/apollotyres.com
APTUS,APTUS.NS,https://www.aptusindia.com,aptusindia.com,https://img.logo.dev/aptusindia.com
ASAHIINDIA,ASAHIINDIA.NS,https://www.aisglass.com,aisglass.com,https://img.logo.dev/aisglass.com
ASHOKLEY,ASHOKLEY.NS,https://www.ashokleyland.com,ashokleyland.com,https://img.logo.dev/ashokleyland.com
ASIANPAINT,ASIANPAINT.NS,https://www.asianpaints.com,asianpaints.com,https://img.logo.dev/asianpaints.com
ASTERDM,ASTERDM.NS,https://www.asterdmhealthcare.com,asterdmhealthcare.com,https://img.logo.dev/asterdmhealthcare.com
ASTRAZEN,ASTRAZEN.NS,https://www.astrazeneca.in,astrazeneca.in,https://img.logo.dev/astrazeneca.in
ASTRAL,ASTRAL.NS,https://astralltd.com,astralltd.com,https://img.logo.dev/astralltd.com
ATUL,ATUL.NS,https://www.atul.co.in,atul.co.in,https://img.logo.dev/atul.co.in
AUROPHARMA,AUROPHARMA.NS,https://www.aurobindo.com,aurobindo.com,https://img.logo.dev/aurobindo.com
AIIL,AIIL.NS,https://www.authum.com,authum.com,https://img.logo.dev/authum.com
DMART,DMART.NS,https://www.dmartindia.com,dmartindia.com,https://img.logo.dev/dmartindia.com
AXISBANK,AXISBANK.NS,https://www.axisbank.com,axisbank.com,https://img.logo.dev/axisbank.com
BASF,BASF.NS,https://www.basf.com/in,basf.com,https://img.logo.dev/basf.com
BEML,BEML.NS,https://www.bemlindia.in,bemlindia.in,https://img.logo.dev/bemlindia.in
BLS,BLS.NS,https://www.blsinternational.com,blsinternational.com,https://img.logo.dev/blsinternational.com
BSE,BSE.NS,https://www.bseindia.com,bseindia.com,https://img.logo.dev/bseindia.com
BAJAJ-AUTO,BAJAJ-AUTO.NS,https://www.bajajauto.com,bajajauto.com,https://img.logo.dev/bajajauto.com
BAJFINANCE,BAJFINANCE.NS,https://www.aboutbajajfinserv.com/finance-about-us,aboutbajajfinserv.com,https://img.logo.dev/aboutbajajfinserv.com
BAJAJFINSV,BAJAJFINSV.NS,https://www.bajajfinserv.in,bajajfinserv.in,https://img.logo.dev/bajajfinserv.in
BAJAJHLDNG,BAJAJHLDNG.NS,https://www.bhil.in,bhil.in,https://img.logo.dev/bhil.in
BAJAJHFL,BAJAJHFL.NS,https://www.bajajhousingfinance.in,bajajhousingfinance.in,https://img.logo.dev/bajajhousingfinance.in
BALKRISIND,BALKRISIND.NS,https://www.bkt-tires.com,bkt-tires.com,https://img.logo.dev/bkt-tires.com
BALRAMCHIN,BALRAMCHIN.NS,https://chini.com,chini.com,https://img.logo.dev/chini.com
BANDHANBNK,BANDHANBNK.NS,https://www.bandhanbank.com,bandhanbank.com,https://img.logo.dev/bandhanbank.com
BANKBARODA,BANKBARODA.NS,https://www.bankofbaroda.in,bankofbaroda.in,https://img.logo.dev/bankofbaroda.in
BANKINDIA,BANKINDIA.NS,https://bankofindia.co.in,bankofindia.co.in,https://img.logo.dev/bankofindia.co.in
MAHABANK,MAHABANK.NS,https://www.bankofmaharashtra.in,bankofmaharashtra.in,https://img.logo.dev/bankofmaharashtra.in
BATAINDIA,BATAINDIA.NS,https://www.bata.in,bata.in,https://img.logo.dev/bata.in
BAYERCROP,BAYERCROP.NS,https://www.bayer.in,bayer.in,https://img.logo.dev/bayer.in
BERGEPAINT,BERGEPAINT.NS,https://www.bergerpaints.com,bergerpaints.com,https://img.logo.dev/bergerpaints.com
BDL,BDL.NS,https://bdl-india.in,bdl-india.in,https://img.logo.dev/bdl-india.in
BEL,BEL.NS,https://www.bel-india.in,bel-india.in,https://img.logo.dev/bel-india.in
BHARATFORG,BHARATFORG.NS,https://www.bharatforge.com,bharatforge.com,https://img.logo.dev/bharatforge.com
BHEL,BHEL.NS,https://www.bhel.com,bhel.com,https://img.logo.dev/bhel.com
BPCL,BPCL.NS,https://www.bharatpetroleum.in,bharatpetroleum.in,https://img.logo.dev/bharatpetroleum.in
BHARTIARTL,BHARTIARTL.NS,https://www.airtel.in,airtel.in,https://img.logo.dev/airtel.in
BHARTIHEXA,BHARTIHEXA.NS,https://www.bhartihexacom.in,bhartihexacom.in,https://img.logo.dev/bhartihexacom.in
BIKAJI,BIKAJI.NS,https://www.bikaji.com,bikaji.com,https://img.logo.dev/bikaji.com
BIOCON,BIOCON.NS,https://www.biocon.com,biocon.com,https://img.logo.dev/biocon.com
BSOFT,BSOFT.NS,https://www.birlasoft.com,birlasoft.com,https://img.logo.dev/birlasoft.com
BLUEDART,BLUEDART.NS,https://www.bluedart.com,bluedart.com,https://img.logo.dev/bluedart.com
BLUESTARCO,BLUESTARCO.NS,https://www.bluestarindia.com,bluestarindia.com,https://img.logo.dev/bluestarindia.com
BBTC,BBTC.NS,https://www.bbtcl.com,bbtcl.com,https://img.logo.dev/bbtcl.com
BOSCHLTD,BOSCHLTD.NS,https://www.bosch.in,bosch.in,https://img.logo.dev/bosch.in
FIRSTCRY,FIRSTCRY.NS,https://www.firstcry.com,firstcry.com,https://img.logo.dev/firstcry.com
BRIGADE,BRIGADE.NS,https://www.brigadegroup.com,brigadegroup.com,https://img.logo.dev/brigadegroup.com
BRITANNIA,BRITANNIA.NS,https://britannia.co.in,britannia.co.in,https://img.logo.dev/britannia.co.in
MAPMYINDIA,MAPMYINDIA.NS,https://www.mapmyindia.com,mapmyindia.com,https://img.logo.dev/mapmyindia.com
CCL,CCL.NS,https://www.cclproducts.com,cclproducts.com,https://img.logo.dev/cclproducts.com
CESC,CESC.NS,https://www.cesc.co.in,cesc.co.in,https://img.logo.dev/cesc.co.in
CGPOWER,CGPOWER.NS,https://www.cgglobal.com,cgglobal.com,https://img.logo.dev/cgglobal.com
CRISIL,CRISIL.NS,https://www.crisil.com,crisil.com,https://img.logo.dev/crisil.com
CAMPUS,CAMPUS.NS,https://www.campusactivewear.com,campusactivewear.com,https://img.logo.dev/campusactivewear.com
CANFINHOME,CANFINHOME.NS,https://www.canfinhomes.com,canfinhomes.com,https://img.logo.dev/canfinhomes.com
CANBK,CANBK.NS,https://www.canarabank.com,canarabank.com,https://img.logo.dev/canarabank.com
CAPLIPOINT,CAPLIPOINT.NS,https://www.caplinpoint.net,caplinpoint.net,https://img.logo.dev/caplinpoint.net
CGCL,CGCL.NS,https://www.capriloans.in,capriloans.in,https://img.logo.dev/capriloans.in
CARBORUNIV,CARBORUNIV.NS,https://www.cumi-murugappa.com,cumi-murugappa.com,https://img.logo.dev/cumi-murugappa.com
CASTROLIND,CASTROLIND.NS,https://www.castrol.com/en_in/india/home.html,castrol.com,https://img.logo.dev/castrol.com
CEATLTD,CEATLTD.NS,https://www.ceat.com,ceat.com,https://img.logo.dev/ceat.com
CENTRALBK,CENTRALBK.NS,https://www.centralbankofindia.co.in,centralbankofindia.co.in,https://img.logo.dev/centralbankofindia.co.in
CDSL,CDSL.NS,https://www.cdslindia.com,cdslindia.com,https://img.logo.dev/cdslindia.com
CENTURYPLY,CENTURYPLY.NS,https://www.centuryply.com,centuryply.com,https://img.logo.dev/centuryply.com
CERA,CERA.NS,https://www.cera-india.com,cera-india.com,https://img.logo.dev/cera-india.com
CHALET,CHALET.NS,https://www.chalethotels.com,chalethotels.com,https://img.logo.dev/chalethotels.com
CHAMBLFERT,CHAMBLFERT.NS,https://www.chambalfertilisers.com,chambalfertilisers.com,https://img.logo.dev/chambalfertilisers.com
CHENNPETRO,CHENNPETRO.NS,https://www.cpcl.co.in,cpcl.co.in,https://img.logo.dev/cpcl.co.in
CHOLAHLDNG,CHOLAHLDNG.NS,https://cholafhl.com,cholafhl.com,https://img.logo.dev/cholafhl.com
CHOLAFIN,CHOLAFIN.NS,https://www.cholamandalam.com,cholamandalam.com,https://img.logo.dev/cholamandalam.com
CIPLA,CIPLA.NS,https://www.cipla.com,cipla.com,https://img.logo.dev/cipla.com
CUB,CUB.NS,https://www.cityunionbank.com,cityunionbank.com,https://img.logo.dev/cityunionbank.com
CLEAN,CLEAN.NS,https://www.cleanscience.co.in,cleanscience.co.in,https://img.logo.dev/cleanscience.co.in
COALINDIA,COALINDIA.NS,https://www.coalindia.in,coalindia.in,https://img.logo.dev/coalindia.in
COCHINSHIP,COCHINSHIP.NS,https://cochinshipyard.in,cochinshipyard.in,https://img.logo.dev/cochinshipyard.in
COFORGE,COFORGE.NS,https://www.coforge.com,coforge.com,https://img.logo.dev/coforge.com
COLPAL,COLPAL.NS,https://www.colgatepalmolive.co.in,colgatepalmolive.co.in,https://img.logo.dev/colgatepalmolive.co.in
CAMS,CAMS.NS,https://www.camsonline.com,camsonline.com,https://img.logo.dev/camsonline.com
CONCORDBIO,CONCORDBIO.NS,https://www.concordbiotech.com,concordbiotech.com,https://img.logo.dev/concordbiotech.com
CONCOR,CONCOR.NS,https://concorindia.co.in,concorindia.co.in,https://img.logo.dev/concorindia.co.in
COROMANDEL,COROMANDEL.NS,https://www.coromandel.biz,coromandel.biz,https://img.logo.dev/coromandel.biz
CRAFTSMAN,CRAFTSMAN.NS,https://www.craftsmanautomation.com,craftsmanautomation.com,https://img.logo.dev/craftsmanautomation.com
CREDITACC,CREDITACC.NS,https://www.creditaccessgrameen.in,creditaccessgrameen.in,https://img.logo.dev/creditaccessgrameen.in
CROMPTON,CROMPTON.NS,https://www.crompton.co.in,crompton.co.in,https://img.logo.dev/crompton.co.in
CUMMINSIND,CUMMINSIND.NS,https://www.cummins.com/en/in/company/cummins-india?locset=IN,cummins.com,https://img.logo.dev/cummins.com
CYIENT,CYIENT.NS,https://www.cyient.com,cyient.com,https://img.logo.dev/cyient.com
DCMSHRIRAM,DCMSHRIRAM.NS,https://www.dcmshriram.com,dcmshriram.com,https://img.logo.dev/dcmshriram.com
DLF,DLF.NS,https://www.dlf.in,dlf.in,https://img.logo.dev/dlf.in
DOMS,DOMS.NS,https://www.domsindia.com,domsindia.com,https://img.logo.dev/domsindia.com
DABUR,DABUR.NS,https://www.dabur.com,dabur.com,https://img.logo.dev/dabur.com
DALBHARAT,DALBHARAT.NS,https://www.dalmiabharat.com,dalmiabharat.com,https://img.logo.dev/dalmiabharat.com
DATAPATTNS,DATAPATTNS.NS,https://www.datapatternsindia.com,datapatternsindia.com,https://img.logo.dev/datapatternsindia.com
DEEPAKFERT,DEEPAKFERT.NS,https://www.dfpcl.com,dfpcl.com,https://img.logo.dev/dfpcl.com
DEEPAKNTR,DEEPAKNTR.NS,https://www.godeepak.com,godeepak.com,https://img.logo.dev/godeepak.com
DELHIVERY,DELHIVERY.NS,https://www.delhivery.com,delhivery.com,https://img.logo.dev/delhivery.com
DEVYANI,DEVYANI.NS,https://www.dil-rjcorp.com,dil-rjcorp.com,https://img.logo.dev/dil-rjcorp.com
DIVISLAB,DIVISLAB.NS,https://www.divislabs.com,divislabs.com,https://img.logo.dev/divislabs.com
DIXON,DIXON.NS,https://www.dixoninfo.com,dixoninfo.com,https://img.logo.dev/dixoninfo.com
LALPATHLAB,LALPATHLAB.NS,https://www.lalpathlabs.com,lalpathlabs.com,https://img.logo.dev/lalpathlabs.com
DRREDDY,DRREDDY.NS,https://www.drreddys.com,drreddys.com,https://img.logo.dev/drreddys.com
EIDPARRY,EIDPARRY.NS,https://www.eidparry.com,eidparry.com,https://img.logo.dev/eidparry.com
EIHOTEL,EIHOTEL.NS,https://www.eihltd.com,eihltd.com,https://img.logo.dev/eihltd.com
EICHERMOT,EICHERMOT.NS,https://www.eichermotors.com,eichermotors.com,https://img.logo.dev/eichermotors.com
ELECON,ELECON.NS,https://www.elecon.com,elecon.com,https://img.logo.dev/elecon.com
ELGIEQUIP,ELGIEQUIP.NS,https://www.elgi.com,elgi.com,https://img.logo.dev/elgi.com
EMAMILTD,EMAMILTD.NS,https://www.emamiltd.in,emamiltd.in,https://img.logo.dev/emamiltd.in
EMCURE,EMCURE.NS,https://www.emcure.com,emcure.com,https://img.logo.dev/emcure.com
ENDURANCE,ENDURANCE.NS,https://www.endurancegroup.com,endurancegroup.com,https://img.logo.dev/endurancegroup.com
ENGINERSIN,ENGINERSIN.NS,https://www.engineersindia.com,engineersindia.com,https://img.logo.dev/engineersindia.com
ERIS,ERIS.NS,https://www.eris.co.in,eris.co.in,https://img.logo.dev/eris.co.in
ESCORTS,ESCORTS.NS,https://www.escortskubota.com,escortskubota.com,https://img.logo.dev/escortskubota.com
ETERNAL,ETERNAL.NS,https://www.zomato.com,zomato.com,https://img.logo.dev/zomato.com
EXIDEIND,EXIDEIND.NS,https://www.exideindustries.com,exideindustries.com,https://img.logo.dev/exideindustries.com
NYKAA,NYKAA.NS,https://www.nykaa.com,nykaa.com,https://img.logo.dev/nykaa.com
FEDERALBNK,FEDERALBNK.NS,https://www.federalbank.co.in,federalbank.co.in,https://img.logo.dev/federalbank.co.in
FACT,FACT.NS,https://www.fact.co.in,fact.co.in,https://img.logo.dev/fact.co.in
FINCABLES,FINCABLES.NS,https://www.finolex.com,finolex.com,https://img.logo.dev/finolex.com
FINPIPE,FINPIPE.NS,https://www.finolexpipes.com,finolexpipes.com,https://img.logo.dev/finolexpipes.com
FSL,FSL.NS,https://www.firstsource.com,firstsource.com,https://img.logo.dev/firstsource.com
FIVESTAR,FIVESTAR.NS,https://www.fivestargroup.in,fivestargroup.in,https://img.logo.dev/fivestargroup.in
FORTIS,FORTIS.NS,https://www.fortishealthcare.com,fortishealthcare.com,https://img.logo.dev/fortishealthcare.com
